experiment,model,fold,run_id,params,best_epoch,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms
B_rva,linknet,1,B_rva__linknet__f1,2775361,8,0.17337839000574515,0.045347132057346036,32.87429010884169,69.9365495599062,0.5093365711343307,0.8865172104413291,-0.6351346853574663,0.10618482092264454,0.11885266642444198,0.1009173692529379,0.05707565250326378,0.8990826307470621,54.443359375,19.893418603683706,384.5049291970514
B_rva,linknet,2,B_rva__linknet__f2,2775361,21,0.15832754514780217,0.043753548365370765,57.934365352077315,85.57199572856013,0.49620520361763326,0.6981344088761849,-0.6830123248735589,0.6030657585406626,0.8960047741670857,0.46805439072295274,0.44730704564337764,0.5319456092770473,19.761029411764707,11.137170479151823,380.4246547838993
B_rva,linknet,3,B_rva__linknet__f3,2775361,7,0.12069491512883036,0.02535458736888518,53.111452912247884,84.12035325218145,0.4597122541021432,0.6890104306186663,-0.022539062412837377,0.06052949405541165,0.06110715454091043,0.06029774135758074,0.031537069869039966,0.9397022586424193,48.958333333333336,6.167518977218321,302.8497055513426
B_rva,linknet,4,B_rva__linknet__f4,2775361,3,0.16003269236706466,0.04399463132573138,43.99177356185613,77.80001629507437,0.5107178235311781,0.72393740683828,-1.5636255490282582,0.08833114084846441,0.1000609212370204,0.08533380352166606,0.04703633570962767,0.9146661964783339,55.419921875,15.47008373864543,330.7330440004764
B_rva,multireslinknet,0,B_rva__multireslinknet__f0,9218556,27,0.1668021478346981,0.04134776021393277,51.981708312576835,79.81865190677652,0.6244141356276478,0.7446979477088452,-1.0802267588173595,0.686408755359542,0.8470749421521026,0.5919329382517575,0.5654496028401124,0.4080670617482425,16.544117647058822,6.272847784762947,267.1186610321047
B_rva,multireslinknet,1,B_rva__multireslinknet__f1,9218556,14,0.18714203749755162,0.04943068654953356,43.185333291291784,80.41065932268309,0.5141044756229961,0.6773647338553961,-0.8749410517911014,0.7495535340959933,0.9033583763138948,0.6530701228598828,0.6355572637764173,0.34692987714011725,18.06640625,4.308945647171176,259.99526923268786
B_rva,multireslinknet,2,B_rva__multireslinknet__f2,9218556,10,0.16025249349652204,0.04383555136212515,63.697108186556065,86.15909746496172,0.48808391868994666,0.7129234401121289,-0.6817289490531561,0.6432382892364724,0.9330946018010221,0.5117423049219268,0.49905262434811076,0.4882576950780732,25.735294117647058,11.821950835837313,354.68101393877964
B_rva,multireslinknet,3,B_rva__multireslinknet__f3,9218556,7,0.15193920786915766,0.0358473473544126,8.69188977048007,36.84916021948364,0.5440782540349705,0.9850819321699542,-0.43446870632721324,0.254107965877565,0.30035351868996873,0.30473914752591136,0.15515942580394615,0.6952608524740886,42.96875,45.7360218766342,263.4651213060669
B_rva,multireslinknet,4,B_rva__multireslinknet__f4,9218556,3,0.16253654130928888,0.04298585060469468,55.50117337200211,85.26991515596002,0.5018096049683021,0.6914519488670892,-1.6114841678664518,0.7711687773303683,0.9118018107852275,0.6877786775436907,0.66838465336879,0.3122213224563093,16.6015625,3.27190475304275,174.49307713356393
B_rva,unet,0,B_rva__unet__f0,12210881,24,0.16928436716086384,0.04182449200018005,53.71839802960506,79.42480478822267,0.6264748028517607,0.651440886161209,-1.0550417174819668,0.7076001806987646,0.8557297594083437,0.6197058840514158,0.586212178411741,0.3802941159485842,18.841911764705884,5.00148473192467,272.0651602827451
B_rva,unet,1,B_rva__unet__f1,12210881,40,0.19009159175059032,0.053858361669653666,41.96959292202246,81.58906102376734,0.5302152626361041,0.6795703748246587,-1.0987643307333166,0.7391437349093173,0.9009035703361976,0.6426753079131228,0.6244808680272766,0.3573246920868772,17.578125,4.542220799738374,268.64392346695854
B_rva,unet,2,B_rva__unet__f2,12210881,9,0.17348785126714142,0.043821878594347,0.19132485699090457,-3.6707217833992094,0.5508369166367891,0.9999787239086241,-0.5775683120767778,0.041862409627723196,0.2346587790046699,0.023109653961741156,0.02143140487942477,0.9768903460382589,49.17279411764706,,
B_rva,unet,3,B_rva__unet__f3,12210881,2,0.1326924448652327,0.03143325718154415,0.7739870574942312,-3.655630492719225,0.5070403303973036,0.99988580002713,-0.20544477447220402,0.04372285533871279,0.20887399689308886,0.024480898007143273,0.022362576206178705,0.9755191019928566,50.78125,73.80206008687705,63.1498825039115
B_rva,unet,4,B_rva__unet__f4,12210881,9,0.16464691899343972,0.04569740864164993,46.905107619291876,81.59266283637493,0.5261789358080551,0.7387089156759997,-1.6856088795094626,0.10750447522887077,0.12031488655657907,0.10379380186328938,0.06230908937631845,0.8962061981367107,35.15625,8.711646515612122,307.0284739868494
